Date,Open,High,Low ,Close,Share Taded,Turnover
11-08-2020,18202.5,18331.65,18036.5,18057.1,30791515,2718.88
12-08-2020,18077.15,18109.8,17900,18066,38941130,3368.34
13-08-2020,18141.35,18344.05,18032.9,18107.2,35340992,2884.53
14-08-2020,18137.3,18230.1,17994.65,18022.65,25683414,2195.16
17-08-2020,18136.65,18306.95,18103.3,18223.6,39287276,3022.73
18-08-2020,18318.6,18375.15,18209.55,18270.35,31630641,2614.88
19-08-2020,18340,18354.8,18187.55,18210.85,31996010,2725.21
20-08-2020,18181.4,18252.3,18083.25,18126.1,28969479,2335.4
21-08-2020,18266.9,18282.55,18047.95,18065.3,27400017,2288.84
24-08-2020,18092.55,18112.9,17915.6,18010.95,21939454,1920.94
25-08-2020,18028.8,18047.5,17914.5,17973.7,25259590,1971.61
26-08-2020,18022.7,18156.15,17940.7,18128,26805518,2223.23
27-08-2020,18231.95,18305.55,18075.75,18102.65,24755603,2380.8
28-08-2020,18216.3,18253.6,18093.45,18122,30027812,2679.75
31-08-2020,18163.25,18426.4,17791.85,17928.85,56325024,4576.48
01-09-2020,17954.6,18154.4,17775.65,17814.05,34706136,2814.37
02-09-2020,17860.65,18114.85,17858.3,18076.95,25978209,2217.39
03-09-2020,18148.25,18497.95,18108,18348.55,52661756,3941.28
04-09-2020,18049.2,18259.8,18012.8,18073.95,32772895,3094.19
07-09-2020,18093.05,18208.95,17962.35,18176.8,28440598,2712
08-09-2020,18304.25,18671.75,18213.55,18395.75,63093305,5622.38
09-09-2020,18264.2,18439.55,18193.45,18261.5,42012167,2947.7
10-09-2020,18385.95,18416.75,18217.1,18395.85,25919043,2187.11
11-09-2020,18347.65,18740.85,18338.1,18633.25,69088545,4551.69
14-09-2020,18804.85,19592.3,18799.55,19505.1,116474993,9616.84
15-09-2020,19511.5,19823,19392.35,19627.3,71513230,6190.49
16-09-2020,19642.3,19802.4,19533.7,19770.35,42624756,3662.37
17-09-2020,19660.45,20014.65,19605.05,19817.7,79572241,6788.83
18-09-2020,19889.95,20067.7,19777.75,19827.05,53710748,4762
21-09-2020,19855.55,20331.6,19683.85,19728.95,81628151,7075.42
22-09-2020,19813.35,20113.4,19376.7,19866.1,78060036,7040.32
23-09-2020,20016.8,20226.3,19615.15,19805.65,72280817,6843.17
24-09-2020,19630.3,19658,18914.7,18973,60442974,5920.78
25-09-2020,19108.75,19678.5,19077.85,19629.35,73896271,6856.57
28-09-2020,19774.75,19836.95,19463.65,19783,42999900,4166.92
